CE3155A,Structural Behavior,2
CE3155B,Structural Modelling,2
CE3115,Stability of Slopes and Earth Retention Systems,4
GENXXXX,Singapore Studies,4
GESS1XXX,Communities & Engagement,4
CE3121,Urban Transportation Engineering,4
CE3165,Concrete Design for Urban Infrastructure,4
CE3116,Foundation Systems for Urban Infrastructure,4
CE3132,Hydrology and Free Surface Flows,4
CE3166,Steel Design for Urban Infrastructure,4
CE4103R,Design Project,8
EE1111A,Electrical Engineering Principles & Practice I,4
ES1103,English for Academic Purposes,4
EE2111A,Electrical Engineering Principles & Practice II,4
EE2023,Signals & Systems,4
EE2012,Analytical Methods in Electrical and Computer Engineering,4
EE2022,Electrical Energy Systems,4
EE2027,Electronics Circuits,4
PC2020,Electromagnetics for Electrical Engineers,4
GE/UE,Unrestricted Elective,4
EE2028,Microcontroller Programming and Interfacing,4
EE4002D,Design Capstone,8
EE4002R,Research Capstone,8
ESP1111,Engineering Principles In-Action,4
ESP2111,Sensor System Electronics,4
ESP2107,Numerical Methods and Statistics,4
ME2121,Engineering Thermodynamics & Heat Transfer,4
ESP2110,Design Project,4
PC3235B,Applied Solid State Physics,4
ESP2106,Principles of Continua,4
PC2130B,Applied Quantum Physics,4
ESP4901,Research Project,4
ESP3903,Major Design Project,4
ESE2101,Environmental Engineering Principles & Practices,4
PC1201,Physics bridging for students without A-level Physics,4
ESE2102,Principles & Practice in Environmental Monitoring,4
ESE2001,Environmental Challenges in the Anthropocene,4
ESE2000,Chemistry for An Environmentally Sustainable Future,4
ESE3101,Resource Management and Circular Economy,4
ESE3301,Microbiology in Natural and Built Environment,4
ESE3201,Air Quality in Changing Environment,4
ESE3401,Sustainable Urban Water Technology,4
Technical Elective,Technical Elective,4
ESE4502R,B. Eng. Dissertation,4
IE1111R,Industrial & Systems Engineering Principles & Practice I,4
IE2111,Industrial & Systems Engineering Principles & Practice II,4
IE2110,Operations Research I,4
CS2040/CS2040DE,Data Structures and Algorithms,4
EG2501/CDE2501,Liveable Cities,4
IE2100,Probability Models with Applications,4
IE3101,Statistics for Engineering Applications,4
IE3110R,Simulation,4
Technical Elective 1,Technical Elective,4
IE3100R,Systems Design Project,4
Technical Elective 2,Technical Elective,4
ME1102,Engineering Principles & Practice I,4
MA1505,Mathematics I,4
ME2104,Engineering Principles & Practice II,4
ME2112,Strength of Materials,4
ME2134,Fluid Mechanics I,4
ME2102,Engineering Innovation and Modelling,4
ME2115,Mechanics of Machines,4
ME2142,Feedback Control Systems,4
ME2162,Manufacturing Processes,4
ME Technical Elective 1,ME Technical Elective,4
ME4101A,B.Eng. Dissertation,4
MLE1001B,Materials Science & Engineering Principles & Practice I,4
MLE2001A,Materials Science & Engineering Principles & Practice II,4
GESS/GEC/GEN,General Education Elective,4
MLE2102,Thermodynamics and Renewable Energy Technologies,4
MLE2105,Electronic Properties of Materials,4
MLE2103A,Materials Kinetics & Processing,2
MLE3101A,Materials Characterization,3
MLE3101,Materials Characterization Laboratory,3
MLE Technical Elective,MLE Technical Elective,4
MLE4101B,B.Eng. Dissertation or MLE4102A Design Project,4
MLE3103,Materials Design: Aerospace to Biomedical Applications,4
MLE3111A,Materials Properties and Processing Laboratory,2
MLE3112,Machine Learning Approaches in Materials Laboratory,2
LAJ1201,Japanese 1,4
GEC1044,Chinese Medicine: Theory and Practice,4
LAJ2201,Japanese 2,4
